cluster_id	total_members	sampled_members	representative_seq_id
cluster_21493	391	391	mistletoe_SUPER_1_TRASH_000000001
cluster_22472	312	312	mistletoe_SUPER_1_TRASH_000000004
cluster_22473	232	232	mistletoe_SUPER_1_TRASH_000000008
cluster_22474	273	273	mistletoe_SUPER_1_TRASH_000000056
cluster_22475	221	221	mistletoe_SUPER_1_TRASH_000000852
cluster_22476	232	232	mistletoe_SUPER_1_TRASH_000000853
cluster_22477	274	274	mistletoe_SUPER_1_TRASH_000002019
cluster_22478	246	246	mistletoe_SUPER_1_TRASH_000002679
cluster_22479	231	231	mistletoe_SUPER_1_TRASH_000002732
cluster_22550	221	221	mistletoe_SUPER_1_TRASH_000000007
cluster_22551	258	258	mistletoe_SUPER_1_TRASH_000002305
cluster_22686	242	242	mistletoe_SUPER_1_TRASH_000000006
cluster_22687	253	253	mistletoe_SUPER_1_TRASH_000000010
cluster_22688	251	251	mistletoe_SUPER_1_TRASH_000000011
